txn_id,amount,status,ip_address
DY83929769551865,41.75,SUCCESS,138.72.5.12
ZE70625840721850,17.16,SUCCESS,24.180.185.210
GI49452359254634,3.48,SUCCESS,61.219.64.111
ZC41084220105165,25.05,SUCCESS,201.93.209.58
XK93912425080559,24.67,SUCCESS,162.135.169.19
EH92909143813572,57.47,SUCCESS,97.91.170.39
NK96630790012504,58.44,SUCCESS,37.222.192.33
XB41139340104462,30.4,SUCCESS,134.56.175.7
SQ49219951295937,78.51,SUCCESS,23.157.102.80
SD99737688101145,79.81,SUCCESS,121.59.247.52
PK33422519035305,14.45,SUCCESS,236.173.251.104
KN28773238126733,94.09,SUCCESS,15.27.25.250
TA61337294730273,30.01,SUCCESS,97.30.161.132
BM66687353378092,53.54,SUCCESS,53.254.187.16
RZ92268189651266,79.86,SUCCESS,89.12.36.88
JD23861433689716,72.94,SUCCESS,65.57.160.98
FL78984979396101,34.4,SUCCESS,67.98.37.161
OB18868877979700,62.96,SUCCESS,174.5.23.224
PO38169779470297,95.47,SUCCESS,45.188.212.114
MX74930983661454,76.25,SUCCESS,99.200.50.67
ZP72494535715906,72.65,SUCCESS,192.25.254.106
SZ47313962140493,18.02,SUCCESS,198.54.30.2
OH25149219592607,49.87,SUCCESS,74.199.128.168
KO56852502843948,43.38,SUCCESS,12.255.47.87
XB46904460424701,14.57,SUCCESS,158.196.133.130
LD32591070798501,68.76,SUCCESS,155.133.85.162
SD66057569636395,24.73,SUCCESS,147.31.228.201
AX21157023032370,26.33,SUCCESS,167.54.199.204
EC55794119945472,97.77,SUCCESS,227.65.138.247
AQ75844010072970,36.61,SUCCESS,70.136.63.221
IS79465825298256,15.9,SUCCESS,63.187.184.99
SU94306755285680,14.97,SUCCESS,85.143.2.139
AG01047119953679,7.08,SUCCESS,115.125.20.73
ER23705900445180,92.61,SUCCESS,72.50.177.121
LL15266869953457,56.5,SUCCESS,194.140.174.88
MX67726805310153,59.18,SUCCESS,81.35.18.155
LX07615696624329,10.91,SUCCESS,160.102.116.138
DA26301255042237,56.88,SUCCESS,189.153.148.48
ZX05243413080779,43.94,SUCCESS,107.131.185.50
CF60003309394923,16.56,SUCCESS,142.11.239.28
QC17526660795426,19.16,SUCCESS,176.81.98.121
HP45974817248635,15.05,SUCCESS,97.50.245.199
UV09537135301051,22.46,SUCCESS,110.88.8.166
TU93461467494921,44.82,SUCCESS,97.128.203.52
HZ77754229212702,25.11,SUCCESS,206.223.146.97
WS20695798930681,79.19,SUCCESS,157.35.3.75
ML63994776021075,5.06,SUCCESS,37.62.25.235
SQ34997398066129,11.9,SUCCESS,195.209.86.2
FM23825625671214,84.1,SUCCESS,94.47.239.11
OR39591295634198,9.34,SUCCESS,197.126.136.89
AV70319965906965,43.1,SUCCESS,253.226.147.101
JZ96675248239969,31.71,SUCCESS,125.39.143.152
VW43370969512752,50.95,SUCCESS,57.203.223.105
TG76555376761448,26.77,SUCCESS,5.51.118.114
FB84585924292454,11.61,SUCCESS,17.135.7.117
MZ93891737000295,28.54,SUCCESS,123.15.172.195
UT46015220166317,34.77,SUCCESS,5.100.1.103
KJ50818762688839,26.14,SUCCESS,225.84.147.164
SE75422392427160,18.19,SUCCESS,197.60.38.44
CP66679857268523,33.8,SUCCESS,218.148.111.217
KL18532196951156,80.19,SUCCESS,170.120.38.142
FI77559475932023,37.88,SUCCESS,92.96.242.250
SE16716944791568,11.21,SUCCESS,140.187.61.105
RY16921911328426,43.01,SUCCESS,148.252.6.192
TU90842991826432,46.19,SUCCESS,248.181.53.230
DA75336215971485,39.03,SUCCESS,71.65.94.72
SD72949754046440,54.11,SUCCESS,252.230.235.113
NC98370042934414,39.01,SUCCESS,182.100.97.38
ER70671160477153,67.91,SUCCESS,56.130.34.69
AI20762916829776,45.46,SUCCESS,145.112.104.135
DM56912381814497,40.69,SUCCESS,251.156.213.36
TC26719039858957,48.16,SUCCESS,226.219.136.190
ZM01245191277836,97.65,SUCCESS,86.70.115.211
GC82105544403844,72.82,SUCCESS,11.190.115.208
CC42982602807539,55.72,SUCCESS,114.90.110.119
GT90458013792144,48.64,SUCCESS,123.197.210.146
KU72528463324882,40.1,SUCCESS,78.94.138.66
CF69401605041041,68.77,SUCCESS,37.79.14.134
FD40737865776442,99.26,SUCCESS,252.124.224.51
PD78344400254075,69.2,SUCCESS,60.110.6.65
KE36771944885495,5.5,SUCCESS,43.203.120.109
VP73169206502760,56.83,SUCCESS,110.90.213.169
AD63160573921300,73.83,SUCCESS,210.10.68.194
LM08372894642942,76.69,SUCCESS,184.76.79.75
FM76256551263943,42.5,SUCCESS,104.169.69.224
CO01253250226860,29.89,SUCCESS,131.187.125.202
ZQ41719796679630,43.65,SUCCESS,84.70.91.209
XB52567158413318,66.92,SUCCESS,18.155.146.119
EZ15439234793920,1.66,SUCCESS,152.238.7.104
MF98574543811971,74.82,SUCCESS,224.11.195.251
JR58179801516966,6.11,SUCCESS,138.33.162.19
IW46361016347781,91.02,SUCCESS,29.81.204.236
HH41733466864592,77.26,SUCCESS,241.126.205.85
ND02325565460098,95.94,SUCCESS,161.23.26.185
SB12435251139825,35.97,SUCCESS,34.80.21.14
WP93244783050687,38.05,SUCCESS,25.87.106.46
JB86848422845730,92.0,SUCCESS,183.231.200.129
LT83140398140420,63.6,SUCCESS,241.128.162.185
DB72840333134404,24.09,SUCCESS,27.228.92.44
LG79567643533290,22.89,SUCCESS,204.228.247.82
